Mensagem,Genero
EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN å£100 Cash WKENT/150P16+,spam
Don't Of course simp... ! tease me ... You know I,ham
Download as ringtones many as u like no restri...,spam
"URGENT!! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins",spam
"Sorry,in meeting I'll call later",ham
Hiya. How was last night? I've been naughty and bought myself clothes and very little ... Ready for more shopping tho! What kind of time do you wanna meet?,ham
Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or å£250 cash every wk. Txt POD to 84128 Ts&Cs www.textpod.net custcare 08712405020.,spam
Latest Nokia Player Mobile or ... iPOD MP3 +å£400,spam
"now I'm eatin but lor, goin back to work soon....",ham
Free entry in chance 2 a weekly for comp a to ...,spam
"for your ringtone Thanks order, reference numb...",spam
U ned to convince him tht its not possible witot hurting his feeling its the main,ham
