Mensagem,Genero
IMPORTANT is a final,spam
about living a with a p...,spam
This is time have tried 2 u...,spam
EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN å£100 Cash WKENT/150P16+,spam
We supposed meet to our tri...,ham
"Your account has been credited with 500 FREE Text Messages. To activate, just txt the word: CREDIT to No: 80488 T&Cs www.80488.biz",spam
Hmm ill have to think about it... ok you're forgiven! =D,ham
Mobile Club: Choose any of the top quality items for your mobile. 7cfca1a,spam
"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",spam
Hi I'm sue. I am 20 years old and work as a lapdancer. I love sex. Text me live - I'm i my bedroom now. text SUE to 89555. By TextOperator G2 1DA 150ppmsg 18+,spam
THNQ U Rgds Vatian,spam
"If you don't, your prize cu...",spam
Hi dear we saw dear. We both are happy. Where you my battery is low,ham
"Hi Jon, Pete here, Ive bin 2 Spain recently & hav sum dinero left, Bill said u or ur åÔrents mayb interested in it, I hav 12,000pes, so around å£48, tb, James.",ham
We can go 4 e normal pilates after our intro...  ,ham
Nope... Think i will go for it on monday... Sorry i replied so late,ham
Hi I'm sue. I old and as a la...,spam
leave topic..sorry telling,ham
JADE ITS PAUL. Y DIDNåÕT U TXT ME? DO U REMEMBER ME FROM BARMED? I WANT 2 TALK 2 U! TXT ME,ham
Then why you came to hostel.,ham
You a Nokia This is what you,spam
"u d phne, u say \HELLO\...",ham
XCLUSIVE@CLUBSAISAI 2MOROW 28/5 SOIREE SPECIALE ZOUK WITH NICHOLS FROM PARIS.FREE ROSES 2 ALL LADIES !!! info: 07946746291/07880867867 ,spam
What FLOWER DOT compa...,spam
Tessy..pls me a favor. birthd...,ham
Your 2003 shows...,spam
07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,spam
Congrats! 1 cinema for 2 is,spam
won a Nokia 7250i. is what you,spam
 gonna let me know cos comes bak from holiday that day.  is coming. Don't4get2text me  number. ,ham
Congrats mobile R yours.,spam
Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX,spam
Sunshine Quiz Q! top DVD playe...,spam
"up..! \""morning\""",ham
1st entry 2 TEXTPOD chance 2 win...,spam
Update your face book status frequently :),ham
URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid12hrs only,spam
Where u been hiding stranger?,ham
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",spam
I'm not driving... Raining! Then i'll get caught at e mrt station lor.,ham
An by misundrstud frnd: ...,ham
Not to get a hold of him,ham
Mind blastin.. No more Tsunamis will occur from now on.. Rajnikant stopped swimming in Indian Ocean..:-D,ham
"Sorry,in meeting call later",ham
"K, I come tonight then if my",ham
"was awarded å£1,500 Bonu...",spam
Account Statement for,spam
No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,spam
"I'm eatin now lor, but goin back to work soon... E mountain deer show huh... I watch b4 liao, very nice...",ham
For in mobile yesterday...,spam
This your content order It h...,spam
Tell me whos this,ham
URGENT!! Your 4* Holiday or,spam
Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552. 2End send STOP 8552 SAM xxx,spam
As valued customer have...,spam
Do you want a New Nokia 3510i Colour Phone Delivered Tomorrow? With 200 FREE minutes to any mobile + 100 FREE text + FREE camcorder Reply or Call 08000930705,spam
2 FEEL THE LETS JUST 4GET ABOU...,ham
Hey not watching movie tonight i'll,ham
Boys. Want XXX pics sent direct ur,spam
Sunshine Hols. claim ur med a,spam
Not heard from U4 a while. Call me now am here all night with just my knickers on. Make me beg for it like U did last time 01223585236 XX Luv Nikiyu4.net,spam
UR awarded a City could a å£200,spam
Not heard U4 a rude chat pr...,spam
Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it. Today is her birthday Shijas,ham
I can't believe how attached I am to seeing you every day. I know you will do the best you can to get to me babe. I will go to teach my class at your midnight,ham
ALERT! computer has u...,spam
I dunno until when... Lets go learn pilates...,ham
25p Children in need song ur...,spam
to convince him tht not wit...,ham
FREE 1st week! No1 Nokia tone mob,spam
<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.,spam
"Urgent Urgent! We have 800 FREE flights to Europe to give away, call B4 10th Sept & take a friend 4 FREE. Call now to claim on 09050000555. BA128NNFWFLY150ppm",spam
"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop",spam
"fine, and",ham
"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm",spam
"This is the 2nd time we have tried 2 contact u. U have won the å£750 Pound prize. 2 claim is easy, call 087187272008 NOW1! Only 10p per minute. BT-national-rate.",spam
"You have or a ?2,000 To...",spam
ar he's married. gd looking,ham
You are now unsubscribed all services. Get tons of sexy babes or hunks straight to your phone! go to http://gotbabes.co.uk. No subscriptions.,spam
This msg is for your mobile content order It has been resent as previous attempt failed due to network error Queries to customersqueries@netvision.uk.com,spam
FreeMSG You awarded a FREE,spam
Hiya. How was last night? I've been naughty and bought myself clothes and very little ... Ready for more shopping tho! What kind of time do you wanna meet?,ham
Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,ham
Congrats! 2 mobile 3G,spam
"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm",spam
Anything if they all go i,ham
Enjoy jamster with yo...,spam
http//tms. widelive.com/index. wml?id=820554ad0a1705572711&first=trueåÁC C RingtoneåÁ,spam
* FREE* POLYPHONIC RINGTONE Text SUPER to 87131 to get your FREE POLY TONE of the week now! 16 SN PoBox202 NR31 7ZS subscription 450pw,spam
done...,ham
You won't believe it but it's true. It's Incredible Txts! Reply G now to learn truly amazing things that will blow your mind. From O2FWD only 18p/txt,spam
They just talking thats it de. They wont any other.,ham
Okie... Thanx...,ham
STIL FUCKED AFTER WENT TOBE...,ham
Ok thanx...,ham
The fact that you're cleaning shows you know why i'm upset. Your priority is constantly \what i want to do,ham
"By the way, make sure u get train to worc foregate street not shrub hill. Have fun night x",ham
What you doing?how you?,ham
"Thats a bit weird, even ?- where is the do supposed to be happening? But good idea, sure they will be in pub!",ham
18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.,spam
timin same wat i got lesson u...,ham
important information 4 orange user 0789xxxxxxx. today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,spam
Ok,ham
Sad of Man - Last week was my,ham
Paris. 2 2 flights å£79,spam
"Party's at my place at usf, no charge (but if you can contribute in any way it is greatly appreciated) and yeah, we got room for one more",ham
thanx...,ham
money!!! r lucky winner 2 your p...,spam
"Download as many ringtones as u like no restrictions, 1000s 2 choose. U can even send 2 yr buddys. Txt Sir to 80082 å£3 ",spam
Haha I found piece prisc...,ham
Not heard from U4 a me am,spam
Dear i am not,ham
Nothing but we jus tot u would ask cos u ba gua... But we went mt faber yest... Yest jus went out already mah so today not going out... Jus call lor...,ham
Today my system sh get ready.all is well and i am also in the deep well,ham
He didn't his get an spri...,ham
Someone has our e...,spam
"Fantasy Football is back on your TV. Go to Sky Gamestar on Sky Active and play å£250k Dream Team. Scoring starts on Saturday, so register now!SKY OPT OUT to 88088",spam
Sure but since my parents will be working on Tuesday I don't really need a cover story,ham
Nokia phone is you...,spam
SORRY IM STIL FUCKED AFTER LAST NITE WENT TOBED AT 430 GOT UP 4 WORK AT 630,ham
"REMINDER FROM O2: To get 2.50 pounds free call credit and details of great offers pls reply 2 this text with your valid name, house no and postcode",spam
"For ur chance to win a å£250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk",spam
HI BABE U R MOST LIKELY TO BE IN BED BUT IM SO SORRY ABOUT TONIGHT! I REALLY WANNA SEE U TOMORROW SO CALL ME AT 9. LOVE ME XXX,ham
is inviting you to frien...,spam
"Storming msg: Wen u lift d phne, u say \HELLO\"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? \""Margaret Hello\"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person",ham
Guess you know,spam
"Bears Pic and Tom, and ...",spam
Offer:The Nokia6650,spam
"Haha figures, well I found the piece and priscilla's bowl",ham
the crazy,spam
WE REGRET TO INFORM U THAT THE NHS HAS MADE A MISTAKE.U WERE NEVER ACTUALLY BORN.PLEASE REPORT 2 YOR LOCAL HOSPITAL 2B TERMINATED.WE R SORRY 4 THE INCONVENIENCE,ham
WON! As a Vodafone ou...,spam
U outbid by the,spam
important user,spam
Please leave this topic..sorry for telling that..,ham
No:-)i got rumour that you going to buy apartment in chennai:-),ham
I can't believe attached I seeing,ham
buy a pizza. Meat or supreme.,ham
I hour 2 c doesnåÕt show I c...,ham
Yes princess! want to catch big ...,ham
it to Your messages are v...,spam
Today am going to college so am not able to atten the class.,ham
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203694 Identifier Code: 40533 Expires 31/10/04,spam
Club: Choose of the ite...,spam
Wylie update: my weed dealer carlos went to freedom and had a class with lunsford,ham
"Latest Nokia Mobile or iPOD MP3 Player +å£400 proze GUARANTEED! Reply with: WIN to 83355 now! Norcorp Ltd.å£1,50/Mtmsgrcvd18+",spam
Oh I didn't send that to Lol!,ham
part of,ham
Oooh bed What are thinking,ham
FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,spam
"Babe, have you got enough money to pick up bread and milk ? And I'll give you it back when you get home ?",ham
got that,ham
LIVE call 08707509020 2...,spam
Hi dear we saw We both ...,ham
"Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish. As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there. She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife, My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!",ham
Still chance there. If you search hard you will get it..let have a try :),ham
My sister cleared two round in birla soft yesterday.,ham
"LOL .. *grins* babe, but thanks",ham
Thats cool cover face in...,ham
Your B4U voucher w/c 27/03 is MARSMS. Log onto www.B4Utele.com for discount credit. To opt out reply stop. Customer care call 08717168528,spam
or Unsecured? Can't ge...,spam
"accordingly. I repeat, just text the word ok on your mobile phone and send",spam
"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p",spam
If maybe leave the car...,ham
ur chance win a å£250 every wk,spam
Latest Mobile Player +å£400 ...,spam
RGENT! This is the 2nd U!U,spam
Its a part of checking IQ,ham
Does in clearing,ham
"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",ham
Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or å£250 cash every wk. Txt POD to 84128 Ts&Cs www.textpod.net custcare 08712405020.,spam
"\ME 2 BABE I FEEL THE SAME LETS JUST 4GET ABOUT IT+BOTH TRY +CHEER UP+NOT FIT SOO MUCHXXLOVE U LOCAXX\""""",ham
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. å£1.50 SP:Tyrone,spam
"Jon, Pete here, bin 2 recently &",ham
"SIX chances 100 to 20,000 po...",spam
Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth å£33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk,spam
BIG BROTHER ALERT! The computer has selected u for 10k cash or #150 voucher. Call 09064018838. NTT PO Box CRO1327 18+ BT Landline Cost 150ppm mobiles vary,spam
You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,spam
staff.science.nus.edu.sg/~phyhcmk/teaching/pc1323,ham
Minimum walk is 3miles a day.,ham
Going thru a very different feeling.wavering decisions and coping up with the same is the same individual.time will heal everything i believe.,ham
Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase,spam
7 wonders in WORLD Ur style 5th...,ham
Ok...,ham
for No1 Nokia 4 ur mob eve...,spam
We can go 4 normal intro...,ham
<Forwarded 448712404000>Please CALL 08712...,spam
Will u dream soon? Is ur,spam
"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?",ham
"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call",spam
WE REGRET TO THE HAS MADE A ...,ham
Sorry I missed your call let's talk when you have the time. I'm on 07090201529,spam
No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,spam
status frequently :),ham
"Free-message: Jamster!Get the crazy frog sound now! For poly text MAD1, for real text MAD2 to 88888. 6 crazy sounds for just 3 GBP/week! 16+only! T&C's apply",spam
"your ringtone order,",spam
SMS. sun0819 cool,spam
garden ready for summer a s...,spam
We still on for tonight?,ham
"K, jason says he's gonna be around so I'll be up there around  &lt;#&gt;",ham
Today going so not able to at...,ham
"Hi Shanil,Rakhesh here.thanks,i have exchanged the uncut diamond stuff.leaving back. Excellent service by Dino and Prem.",ham
Hmm have think it... ok you're,ham
"Hey Boys. Want hot XXX pics sent direct 2 ur phone? Txt PORN to 69855, 24Hrs free and then just 50p per day. To stop text STOPBCM SF WC1N3XX",spam
SO IS TH GOWER MATE WHICH IS WHERE I AM!?! HOW R U MAN? ALL IS GOOD IN WALES ILL B BACK åÔMORROW. C U THIS WK? WHO WAS THE MSG 4? åÐ RANDOM!,ham
Buy Space 4 2 win orig,spam
Anything lor if they all go then i go lor...,ham
"For ur chance to win a å£250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk",spam
How was night? been an...,ham
pple...$700 $900 nights...Excelle...,ham
Todays Voda numbers ending 5226 are selected to receive a ?350 award. If you hava a match please call 08712300220 quoting claim code 1131 standard rates app ,spam
Oh dang! I didn't mean o send that to you! Lol!,ham
w/c 27/03 is MARSMS. onto...,spam
"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",spam
Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY å£10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg,spam
at my place at charge (but ...,ham
No 4 mob every week! Just...,spam
Okie...,ham
won a guaranteed å£200 award even,spam
U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599,spam
Wewa is 255. mb.,ham
When're you guys getting back? G said you were thinking about not staying for mcr,ham
"Final Chance! Claim ur å£150 worth of discount vouchers today! Text YES to 85023 now! SavaMob, member offers mobile! T Cs SavaMob POBOX84, M263UZ. å£3.00 Subs 16",spam
"Update_Now - Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/F4Q=",spam
ur to win wkly shopping spr...,spam
Gr8 new service - sex video chat,spam
We're done...,ham
How is your schedule next week? I am out of town this weekend.,ham
Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min Gsex POBOX 2667 WC1N 3XX,spam
Dear i am not denying your words please,ham
money!!! you r a lucky winner ! 2 claim your prize text money 2 88600 over å£1million to give away ! ppt150x3+normal text rate box403 w1t1jy,spam
Going thru d...,ham
"Sorry, I'll call you  later. I am in meeting sir.",ham
"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101358 NOW! Only 10p per min. BT-national-rate",spam
Thats cool princess! I will cover your face in hot sticky cum :),ham
"FREE NOKIA Or Motorola with upto 12mths 1/2price linerental, 500 FREE x-net mins&100txt/mth FREE B'tooth*. Call Mobileupd8 on 08001950382 or call 2optout/D3WV",spam
my will be working on T...,ham
You being contacted Service ...,spam
need details that,ham
"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear""",ham
"Babe, you got money to pick",ham
This is 2nd time we tried u...,spam
RGENT! This is the 2nd attempt to contact U!U have WON å£1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. maxå£7. 50,spam
18 kickoff! will be kept in...,spam
I am literally in bed and have been up for like  &lt;#&gt;  hours,ham
TH GOWER MATE WHERE I AM!?! HOW...,ham
"This weeks SavaMob member offers are now accessible. Just call 08709501522 for details! SavaMob, POBOX 139, LA3 2WU. Only å£1.50/week. SavaMob - offers mobile!",spam
This SavaMob now acces...,spam
* am working on the ringing hav...,ham
why came,ham
"repeat, just word ok o...",spam
Wewa is 130. Iriver 255. All 128 mb.,ham
I a wrong calling between,ham
Dude just parked with its sunroof,ham
"You are being contacted by our Dating Service by someone you know! To find out who it is, call from your mobile or landline 09064017305 PoBox75LDNS7 ",spam
TALKING IS THAT REALISE THAT...,ham
Enjoy the jamster videosound gold club with your credits for 2 new videosounds+2 logos+musicnews! get more fun from jamster.co.uk! 16+only Help? call: 09701213186 ,spam
I dunno until go,ham
"Hi, this is Mandy",spam
I need details about that online job.,ham
URGENT! We are trying U.,spam
An excellent thought by a misundrstud frnd: I knw u hate me bt the day wen u'll knw the truth u'll hate urself:-( Gn:-),ham
Just buy a pizza. Meat lovers or supreme. U get to pick.,ham
For ur to win å£250 wk TXT...,spam
your schedule week? I out of to...,ham
"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",spam
to kick off! For Euro2004 U will,spam
You a U have specially,spam
PRIVATE! Your shows...,spam
"For ur chance to win a å£250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk.",spam
YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a å£150 prize. To collect is easy. Just call 09061743386 ,spam
"cmon babe, make me horny, *turn* me on! Txt me your fantasy now babe -) Im hot, sticky and need you now. All replies cost å£1.50. 2 cancel send STOP",spam
"Not sure yet, still trying to get a hold of him",ham
"FreeMSG You have been awarded a FREE mini DIGITAL CAMERA, just reply SNAP to collect your prize! (quizclub Opt out? Stop 80122300p/wk SP:RWM Ph:08704050406)",spam
"Well, I for class babe ... Yo...",ham
"I'm now lor, goin to soon....",ham
I'm not Raining! caug...,ham
happy year. How you where y...,ham
Where are you?when wil you reach here?,ham
Tell me whos this pls:-),ham
fact that you know w...,ham
You have 1 new message. Please call 08718738034.,spam
I am in bus on the way to calicut,ham
PISS IS TALKING IS SOMEONE THAT REALISE U THAT POINT THIS AT IS IT.(NOW READ IT BACKWARDS),ham
Refused a loan? Secured or Unsecured? Can't get credit? Call free now 0800 195 6669 or text back 'help' & we will!,spam
Natalja (25/F) is inviting you to be her friend. Reply YES-440 or NO-440 See her: www.SMS.ac/u/nat27081980 STOP? Send STOP FRND to 62468,spam
"cmon babe, me me on! Txt",spam
"Spoke with uncle john today. He strongly feels that you need to sacrifice to keep me here. He's going to call you. When he does, i beg you to just listen. Dont make any promises or make it clear things are not easy. And i need you to please let us work things out. As long as i keep expecting help, my creativity will be stifled so pls just keep him happy, no promises on your part.",ham
"Go point, crazy.. only",ham
