Mensagem,Genero
No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,spam
"For ur chance to win a å£250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk",spam
Do you want a new Nokia 3510i color phone...,spam
"accordingly. I repeat, just text the word ok on your mobile phone and send",spam
Crazy because he's married. ÌÏ like guys who look like God...,ham
I don't know until when... Let's learn pilates...,ham
You are being contacted by our Dating Service...,spam
An excellent thought by a misundrstud frnd: I knw u hate me bt the day wen u'll knw the truth u'll hate urself:-( Gn:-),ham
I'll let you know because I'm back from vacation...,ham
I don't think it's a wrong connection between us,ham
"Not sure yet, still trying to get a hold of him",ham
How is your schedule next week? I am out of town this weekend.,ham
Moby Pub Quiz. Win a £100 High Street Prize if...,spam
"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p",spam
Hmm ill have to think about it... ok you're forgiven! =D,ham
money!!! you are a lucky winner! 2 claim your p...,spam
Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth å£33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk,spam
Wewa is 130. Iriver 255. All 128 mb.,ham
No calls..messages..missed calls,ham
Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY å£10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg,spam
"URGENT! His mobile number was awarded £2,000 B...",spam
important information 4 orange user 0789xxxxxx...,spam
Gr8 new service - live sex video chat on your ...,spam
He didn't see his shadow. We have an early spring...,ham
"Hello O... Wake up..! \In the morning\"" \""...",ham
