Mensagem,Classe
You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,spam
Dear i am not denying your words please,ham
wk For ur every chance to win a å£250 cash TXT...,spam
Today am going to college so am not able to atten the class.,ham
EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN å£100 Cash WKENT/150P16+,spam
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203694 Identifier Code: 40533 Expires 31/10/04,spam
This msg is for your mobile content order It has been resent as previous attempt failed due to network error Queries to customersqueries@netvision.uk.com,spam
Hi dear we saw dear. We both are happy. Where you my battery is low,ham
that Did u got story persons,ham
"Hey Boys. Want hot XXX pics sent direct 2 ur phone? Txt PORN to 69855, 24Hrs free and then just 50p per day. To stop text STOPBCM SF WC1N3XX",spam
I am in bus on the way to calicut,ham
by Dating You are being contacted our Service ...,spam
Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min Gsex POBOX 2667 WC1N 3XX,spam
"Sorry, I'll call you  later. I am in meeting sir.",ham
"As SIM subscriber, recei... a you are selected to",spam
Hey they r not watching movie tonight so i'll prob b home early...,ham
wit... U ned to him tht its not convince possible,ham
PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,spam
"Free-message: Jamster!Get the crazy frog sound now! For poly text MAD1, for real text MAD2 to 88888. 6 crazy sounds for just 3 GBP/week! 16+only! T&C's apply",spam
Tmr timin still da wat i got same lesson cos u...,ham
Your 4* URGENT!! Costa Del å£50... Sol Holiday or,spam
Customer Offer:The Loyalty NEW Mobil... Nokia6650,spam
Free entry in chance 2 a weekly for comp a to ...,spam
"For ur chance to win a å£250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk",spam
As a valued network customer you WINNER!! have...,spam
"U were outbid by simonwatson5120 on the Shinco DVD Plyr. 2 bid again, visit sms. ac/smsrewards 2 end bid notifications, reply END OUT",spam
"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",spam
"Fantasy Football is back on your TV. Go to Sky Gamestar on Sky Active and play å£250k Dream Team. Scoring starts on Saturday, so register now!SKY OPT OUT to 88088",spam
"Hi Pete here, Ive Jon, bin 2 Spain recently & ...",ham
Where u been hiding stranger?,ham
Spoke with uncle He john strongly today. feels...,ham
Sorry I missed your call let's talk when you have the time. I'm on 07090201529,spam
the This is 2nd time 2 we have tried contact u...,spam
Does uncle timi help in clearing cars,ham
"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",spam
U a secret admirer who have is looking 2 ... make,spam
HAVE WON! As YOU a valued Vodafone customer ou...,spam
Gr8 new service ... - sex video chat on live your,spam
I dont thnk its a wrong calling between us,ham
"URGENT! Your was Mobile No awarded a å£2,000 B...",spam
An excellent thought by a misundrstud frnd: I knw u hate me bt the day wen u'll knw the truth u'll hate urself:-( Gn:-),ham
FUCKED SORRY STIL AFTER LAST NITE IM WENT TOBE...,ham
Sure but since my parents will be working on Tuesday I don't really need a cover story,ham
07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,spam
FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone,spam
JADE ITS PAUL. Y DIDNåÕT U TXT ME? DO U REMEMBER ME FROM BARMED? I WANT 2 TALK 2 U! TXT ME,ham
going No:-)i got that rumour you to buy apartm...,ham
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08715203685 Identifier Code:4xx26 Expires 13/10/04,spam
"Thats a bit weird, even ?- the where do sup... is",ham
No 1 ur POLYPHONIC tone 4 mob every week! Just...,spam
What you doing?how you? are,ham
How much are we getting?,ham
I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,spam
"(but Party's at my place at usf, no charge if ...",ham
I can't believe how attached I am to seeing you every day. I know you will do the best you can to get to me babe. I will go to teach my class at your midnight,ham
Free 1st week entry chance win... 2 TEXTPOD 4 a 2,spam
Not heard now U4 a while. Call from me am here...,spam
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",spam
My sister cleared two round in birla soft yesterday.,ham
Not heard from U4 a while. Call me now am here all night with just my knickers on. Make me beg for it like U did last time 01223585236 XX Luv Nikiyu4.net,spam
fact that The you're know cleaning shows you w...,ham
I'm sue. I am Hi years old 20 and work as a la...,spam
We Urgent 800 Urgent! have FREE flights to Eur...,spam
Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+,spam
Hiya. How was last night? I've been naughty and bought myself clothes and very little ... Ready for more shopping tho! What kind of time do you wanna meet?,ham
I need details about that online job.,ham
"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101358 NOW! Only 10p per min. BT-national-rate",spam
Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth å£33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk,spam
I keep ten rs in my shelf:) buy two egg.,ham
Moby Pub Quiz.Win a å£100 High Street prize if u know who the new Duchess of Cornwall will be? Txt her first name to 82277.unsub STOP å£1.50 008704050406 SP,spam
Wewa is 130. Iriver 255. All 128 mb.,ham
We are trying to U. URGENT! contact Todays dra...,spam
"By way, make sure u get the train to worc fore...",ham
No calls..messages..missed calls,ham
Just buy a pizza. Meat lovers or supreme. U get to pick.,ham
XCLUSIVE@CLUBSAISAI 2MOROW 28/5 SOIREE SPECIALE ZOUK WITH NICHOLS FROM PARIS.FREE ROSES 2 ALL LADIES !!! info: 07946746291/07880867867 ,spam
very Going a thru different feeling.wavering d...,ham
"Bears Pic Nick, Dick. and Tom, Pete and In... ...",spam
We're done...,ham
Well done ENGLAND! Get the official poly ringtone or colour flag on yer mobile! text TONE or FLAG to 84199 NOW! Opt-out txt ENG STOP. Box39822 W111WX å£1.50,spam
"for your ringtone Thanks order, reference numb...",spam
UR awarded a City Break and could WIN a å£200 Summer Shopping spree every WK. Txt STORE to 88039.SkilGme.TsCs087147403231Winawk!Age16+å£1.50perWKsub,spam
"\ME 2 BABE I FEEL THE SAME LETS JUST 4GET ABOUT IT+BOTH TRY +CHEER UP+NOT FIT SOO MUCHXXLOVE U LOCAXX\""""",ham
Anything lor if they go then i lor... all go,ham
thought about living a good Ever life with a p...,spam
WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,spam
Still chance there. If you search hard you will get it..let have a try :),ham
A pure hearted person can have a wonderful smile that makes even his/her enemies to feel guilty for being an enemy.. So catch the world with your smile..:) GOODMORNING &amp; HAVE A SMILEY SUNDAY..:),ham
Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,ham
"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear""",ham
"Hi Jon, Pete here, Ive bin 2 Spain recently & hav sum dinero left, Bill said u or ur åÔrents mayb interested in it, I hav 12,000pes, so around å£48, tb, James.",ham
Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send COLLECT to 83600 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1,spam
"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?",ham
ROMCAPspam Everyone should be respondin... around,spam
<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.,spam
Nope... i Think will go for it on monday... So...,ham
"Sorry,in call I'll meeting later",ham
URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid 12hrs only,spam
Nokia 3650 Congrats! camera phone is video you...,spam
Will Is meet ur u dream partner soon? ur caree...,spam
Tell whos me this pls:-),ham
JADE REMEMB... ITS PAUL. Y U DIDNåÕT U TXT ME? DO,ham
Today my system sh get ready.all is well and i am also in the deep well,ham
"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",spam
You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,spam
Someone has contacted our dating service and entered your phone because they fancy you! To find out who it is call from a landline 09111032124 . PoBox12n146tf150p,spam
my system sh is get Today ready.all well and i...,ham
Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase,spam
it to 80488. Your 500 free text messages are valid until 31 December 2005.,spam
Just supreme. buy a pizza. Meat or U lovers ge...,ham
Doctor. 1Tulsi Leaf/Day=No 1Apple/Day=No Cance...,ham
are wil you?when you reach Where here?,ham
Refused Secured or Unsecured? loan? Can't a ge...,spam
"Download as many ringtones as u like no restrictions, 1000s 2 choose. U can even send 2 yr buddys. Txt Sir to 80082 å£3 ",spam
"Urgent Urgent! We have 800 FREE flights to Europe to give away, call B4 10th Sept & take a friend 4 FREE. Call now to claim on 09050000555. BA128NNFWFLY150ppm",spam
Okie... Thanx...,ham
Did u got that persons story,ham
Minimum walk is 3miles day. a,ham
PRIVATE! Your 2003 Account for Statement shows...,spam
Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or å£250 cash every wk. Txt POD to 84128 Ts&Cs www.textpod.net custcare 08712405020.,spam
SOMEONE PISS THAT IS TALKING IS REALISE U THAT...,ham
"For ur chance to win a å£250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk",spam
Hey Boys. Want pics sent XXX direct 2 hot ur p...,spam
This msg is for your mobile content h... order It,spam
We are supposed to meet to discuss abt our trip... Thought xuhui told you? In the afternoon. Thought we can go for lesson after that,ham
Hi dear dear. we saw We both are happy. Where ...,ham
"Babe, have you got enough money to pick up bread and milk ? And I'll give you it back when you get home ?",ham
u Where stranger? been hiding,ham
her (25/F) is inviting you to be frien... Natalja,spam
Thats cool princess! I will cover your face in hot sticky cum :),ham
thanx... Ok,ham
"Party's at my place at usf, no charge (but if you can contribute in any way it is greatly appreciated) and yeah, we got room for one more",ham
"Your mobile was awarded a Bonu... å£1,500 URGENT!",spam
FREE* Text POLYPHONIC RINGTONE SUPER to * 8713...,spam
HI BABE U R MOST LIKELY TO BE IN BED BUT IM SO SORRY ABOUT TONIGHT! I REALLY WANNA SEE U TOMORROW SO CALL ME AT 9. LOVE ME XXX,ham
FREE NOKIA Motorola with upto 12mths 1/2pri... Or,spam
For taking part in our mobile survey yesterday! You can now have 500 texts 2 use however you wish. 2 get txts just send TXT to 80160 T&C www.txt43.com 1.50p,spam
Married local women looking for discreet action now! 5 real matches instantly to your phone. Text MATCH to 69969 Msg cost 150p 2 stop txt stop BCMSFWC1N3XX,spam
HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,spam
26th OF JULY,ham
do me a favor. Pls birthd... Tessy..pls convey my,ham
Your B4U MARSMS. 27/03 voucher w/c is Log onto...,spam
YOU or VE WON! Costa Your 4* Del Sol Holiday å...,spam
"uni? fine, Arms how's Cardiff and",ham
Want explicit SEX in 30 Ring 02073162414... secs?,spam
Of course ! Don't tease me ... You know I simply must see ! *grins* ... Do keep me posted my prey ... *loving smile* *devouring kiss*,ham
+123 - in this week's Congratulations competit...,spam
You have won a 7250i. This Nokia is what you g...,spam
Married actio... women looking for local discreet,spam
Thats cool will princess! cover your face in... I,ham
"FREE NOKIA Or Motorola with upto 12mths 1/2price linerental, 500 FREE x-net mins&100txt/mth FREE B'tooth*. Call Mobileupd8 on 08001950382 or call 2optout/D3WV",spam
"New Tones This week include: 1)McFly-All Ab.., 2) Sara Jorge-Shock.. 3) Will Smith-Switch.. To order follow instructions on next message",spam
when you and derek done with class?,ham
Crazy ar he's ÌÏ like gd looking guys... married.,ham
1 year pass special cinema for 2 Congrats! is ...,spam
"Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish. As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there. She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife, My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!",ham
Update your face book status frequently :),ham
"accordingly. I repeat, just text the word ok on your mobile phone and send",spam
why you came to hostel. Then,ham
I'm caug... driving... Raining! Then i'll not get,ham
For mobile taking part our in survey yesterday...,spam
GOWER SO IS WHERE TH MATE WHICH IS I AM!?! HOW...,ham
"Bears Pic Nick, and Tom, Pete and ... Dick. In fact, all types try gay chat with photo upload call 08718730666 (10p/min). 2 stop texts call 08712460324",spam
URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid12hrs only,spam
Hmm ill have to think about it... ok you're forgiven! =D,ham
Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552. 2End send STOP 8552 SAM xxx,spam
We'll you pay over like  &lt;#&gt; yrs so its not too difficult,ham
free ringtone is waiting Your to be collected....,spam
"Spoke with uncle john today. He strongly feels that you need to sacrifice to keep me here. He's going to call you. When he does, i beg you to just listen. Dont make any promises or make it clear things are not easy. And i need you to please let us work things out. As long as i keep expecting help, my creativity will be stifled so pls just keep him happy, no promises on your part.",ham
Update your face book status frequently :),ham
"K, jason says he's gonna be around so I'll be up there around  &lt;#&gt;",ham
Not heard while. from U4 a Call 4 rude pr... chat,spam
money!!! you r a lucky winner ! 2 claim your prize text money 2 88600 over å£1million to give away ! ppt150x3+normal text rate box403 w1t1jy,spam
We can go 4 e normal pilates after our intro...  ,ham
25p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.,spam
Ever thought about living a good life with a perfect partner? Just txt back NAME and AGE to join the mobile community. (100p/SMS),spam
I walked an u! hour 2 c doesnåÕt that show I c...,ham
"Update_Now - Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/F4Q=",spam
"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",ham
Oh dang! I didn't mean o send that to you! Lol!,ham
Gr8 new service - live sex video chat on your mob - see the sexiest dirtiest girls live on ur phone - 4 details text horny to 89070 to cancel send STOP to 89070,spam
Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX,spam
SO IS TH GOWER MATE WHICH IS WHERE I AM!?! HOW R U MAN? ALL IS GOOD IN WALES ILL B BACK åÔMORROW. C U THIS WK? WHO WAS THE MSG 4? åÐ RANDOM!,ham
I walked an hour 2 c u! doesnåÕt that show I care y wont u believe im serious?,ham
"you Babe, got enough have money to pick up bre...",ham
Moby a å£100 Quiz.Win Pub High Street prize if...,spam
We He didn't his shadow. get an early see spri...,ham
U ned to convince him tht its not possible witot hurting his feeling its the main,ham
SMS. sun0819 ac posts HELLO:\You seem cool,spam
when you and derek done with class?,ham
Today to to am going college so am not able at...,ham
"Just so mone... that you know,yetunde hasn't sent",ham
Somebody Guess what! you secretly know fancies...,spam
I dont thnk its a wrong calling between us,ham
Just HOT LIVE FANTASIES now 08707509020 call 2...,spam
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. å£1.50 SP:Tyrone,spam
No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,spam
Download as ringtones many as u like no restri...,spam
Tmr timin still da same wat cos i got lesson until 6...,ham
FLOWER EASTENDERS TV Quiz. What does DOT compa...,spam
Hi I'm sue. I am 20 years old and work as a lapdancer. I love sex. Text me live - I'm i my bedroom now. text SUE to 89555. By TextOperator G2 1DA 150ppmsg 18+,spam
Ok...,ham
"If you're still up, maybe leave the credit card so I can get gas when I get back like he told me to",ham
person A hearted pure can have a wonderful smi...,ham
"- Xmas Offer! Update_Now Latest Motorola, Sony...",spam
to We are supposed discuss meet to abt our tri...,ham
"&amp; Watching cartoon, music listening at eve...",ham
22 days to kick off! For Euro2004 U will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222,spam
"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm",spam
"Haha figures, I well found the piece and prisc...",ham
Latest Nokia Player Mobile or ... iPOD MP3 +å£400,spam
ur Final Chance! Claim å£150 worth of discount...,spam
Oooh bed ridden ey? What are YOU thinking of?,ham
No:-)i got rumour that you going to buy apartment in chennai:-),ham
days 22 to kick off! For ke... Euro2004 U will be,spam
"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",spam
"1)McFly-All Tones New This week include: Ab..,...",spam
Ok...,ham
Yun buying... But school got offer 2000 plus only...,ham
7 6th wonders in My WORLD 5th... 7th You Ur style,ham
Oh dang! I mean o didn't you! send that to Lol!,ham
"Hi Shanil,Rakhesh here.thanks,i have exchanged the uncut diamond stuff.leaving back. Excellent service by Dino and Prem.",ham
"You are being contacted by our Dating Service by someone you know! To find out who it is, call from your mobile or landline 09064017305 PoBox75LDNS7 ",spam
chance Still there. you If search hard you wil...,ham
You have won a guaranteed å£200 award or even å£1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP. RG21 4JX,spam
until I dunno Lets go when... learn pilates...,ham
Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY å£10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg,spam
ROMCAPspam Everyone around should be responding well to your presence since you are so warm and outgoing. You are bringing in a real breath of sunshine.,spam
WIN a year supply of CDs a store 4 of ur choic...,spam
You won't believe it but it's true. It's Incredible Txts! Reply G now to learn truly amazing things that will blow your mind. From O2FWD only 18p/txt,spam
"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm",spam
"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",ham
What you doing?how are you?,ham
lucky money!!! you a winner ! 2 r claim your p...,spam
Ok lor...,ham
They just talking thats it de. They wont any other.,ham
"URGENT! Your Mobile No was awarded a å£2,000 Bonus Caller Prize on 1/08/03! This is our 2nd attempt to contact YOU! Call 0871-4719-523 BOX95QU BT National Rate",spam
BIG BROTHER ALERT! The computer has selected u for 10k cash or #150 voucher. Call 09064018838. NTT PO Box CRO1327 18+ BT Landline Cost 150ppm mobiles vary,spam
"By the way, make sure u get train to worc foregate street not shrub hill. Have fun night x",ham
http//tms. widelive.com/index. wml?id=820554ad0a1705572711&first=trueåÁC C RingtoneåÁ,spam
HI BABE U R MOST LIKELY TO BE BED IN BUT IM SO...,ham
FreeMSG have been awarded a FREE You mini DIGI...,spam
but Sure since T... my parents will be working on,ham
we How are getting? much,ham
Congrats! 2 mobile Videophones 3G yours. cal... R,spam
You 1 new message. Please have call 08718738034.,spam
I'm not driving... Raining! Then i'll get caught at e mrt station lor.,ham
WE REGRET TO INFORM U THAT THE NHS HAS MADE A MISTAKE.U WERE NEVER ACTUALLY BORN.PLEASE REPORT 2 YOR LOCAL HOSPITAL 2B TERMINATED.WE R SORRY 4 THE INCONVENIENCE,ham
"Helloooo... Wake up..! \Sweet\"" \""morning\"" \""welcomes\"" \""You\"" \""Enjoy\"" \""This Day\"" \""with full of joy\"".. \""GUD MRNG\"".""",ham
