Mensagem,Genero
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. å£1.50 SP:Tyrone,spam
What you did on leave.,ham
I still haven't checked it yet.,ham
money!!! you r a lucky winner ! 2 claim your prize text money 2 88600 over å£1million to give away ! ppt150x3+normal text rate box403 w1t1jy,spam
I am in bus on the way to calicut,ham
The least amount of walking required is 3 miles per day.,ham
Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send COLLECT to 83600 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1,spam
Sorry I missed your call let's talk when you have the time. I'm on 07090201529,spam
Get a new polyphonic ringtone for your mobile phone every week!,spam
HI BABE U R MOST LIKELY TO BE IN BED BUT IM SO SORRY ABOUT TONIGHT! I REALLY WANNA SEE U TOMORROW SO CALL ME AT 9. LOVE ME XXX,ham
"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm",spam
No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,spam
"You have 500 free text messages available to you, up to a total of 80,488.",spam
You have 1 unread message. Please dial 08718738034.,spam
PISS IS TALKING MEANS SOMEONE WHO MAKES YOU REALIZE...,ham
"Good morning, wake up!",ham
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",spam
Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it. Today is her birthday Shijas,ham
"Download as many ringtones as u like no restrictions, 1000s 2 choose. U can even send 2 yr buddys. Txt Sir to 80082 å£3 ",spam
"Hello, this is Mandy Sullivan from HOTMIX speaking.",spam
Your B4U voucher w/c 27/03 is MARSMS. Log onto www.B4Utele.com for discount credit. To opt out reply stop. Customer care call 08717168528,spam
"Thanks, Okie!",ham
Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+,spam
"Call me da, i am waiting for your call.",ham
25p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.,spam
Wewa is 130. Iriver 255. All 128 mb.,ham
No calls..messages..missed calls,ham
"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear""",ham
Tune in to Sky to watch Fantasy Football return to your TV.,spam
I am on the bus heading to Calicut.,ham
U ned to convince him tht its not possible witot hurting his feeling its the main,ham
You have been awarded a mini DIGI at no cost.,spam
"For ur chance to win a å£250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk",spam
"LOL .. *grins* .. I'm not babe, but thanks for thinking of me!",ham
Not heard from U4 a while. Call me now am here all night with just my knickers on. Make me beg for it like U did last time 01223585236 XX Luv Nikiyu4.net,spam
26th OF JULY,ham
"He didn't catch a glimpse of his shadow, indicating an early spring.",ham
Hey folks...$700 or $900 for 5 nights...Excellent!,ham
You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,spam
"Free-message: Jamster!Get the crazy frog sound now! For poly text MAD1, for real text MAD2 to 88888. 6 crazy sounds for just 3 GBP/week! 16+only! T&C's apply",spam
Of course ! Don't tease me ... You know I simply must see ! *grins* ... Do keep me posted my prey ... *loving smile* *devouring kiss*,ham
Ok thanx...,ham
SORRY IM STIL FUCKED AFTER LAST NITE WENT TOBED AT 430 GOT UP 4 WORK AT 630,ham
Well done ENGLAND! Get the official poly ringtone or colour flag on yer mobile! text TONE or FLAG to 84199 NOW! Opt-out txt ENG STOP. Box39822 W111WX å£1.50,spam
1Apple/Day=No Doctor. 1Tulsi Leaf/Day=No Cancer. 1Lemon/Day=No Fat. 1Cup Milk/day=No Bone Problms 3 Litres Watr/Day=No Diseases Snd ths 2 Whom U Care..:-),ham
I walked an hour 2 c u! doesnåÕt that show I care y wont u believe im serious?,ham
"Wewa is 130 MB, Iriver is 255 MB, and all are 128 MB.",ham
Congratulations ENGLAND! Get the official poly ringtone.,spam
Act now! Your 4* Costa Del Sol Holiday or £50...,spam
HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,spam
Our Dating Service is reaching out to you.,spam
"Thank you for your ringtone order, reference number...",spam
Your account has been credited with 500 T FREE.,spam
Today my system sh get ready.all is well and i am also in the deep well,ham
"By the way, make sure u get train to worc foregate street not shrub hill. Have fun night x",ham
"""Receive a Special Loyalty Discount on the NEW Nokia6650 Mobile Phone!""",spam
"\ME 2 BABE I FEEL THE SAME LETS JUST 4GET ABOUT IT+BOTH TRY +CHEER UP+NOT FIT SOO MUCHXXLOVE U LOCAXX\""""",ham
"7 Wonders in My World: 7th You, 6th Your Style, 5th Your Smile, 4th Your Voice, 3rd Your Kindness, 2nd Your Love, 1st Your Presence.",ham
Mind blastin.. No more Tsunamis will occur from now on.. Rajnikant stopped swimming in Indian Ocean..:-D,ham
Ever considered living a fulfilling life with a purpose?,spam
I had a conversation with Uncle John today and he was adamant that...,ham
"I apologize, I am still in a difficult situation after last night went to bed.",ham
Does Uncle Timi assist in moving cars?,ham
XCLUSIVE@CLUBSAISAI 2MOROW 28/5 SOIREE SPECIALE ZOUK WITH NICHOLS FROM PARIS.FREE ROSES 2 ALL LADIES !!! info: 07946746291/07880867867 ,spam
Experience the Jamster Videosound Gold Club with your friends.,spam
1Tulsi Leaf/Day=No Need for a Doctor.,ham
First week free! Get the No. 1 Nokia tone for your mobile every day.,spam
We still on for tonight?,ham
Last Opportunity! Get your £150 worth of savings...,spam
Your B4U voucher with the date 27/03 is MARSMS. Log onto...,spam
Win a year's worth of CDs from a store of your choice.,spam
Get the Nokia tone for your mobile phone absolutely free for the first week!,spam
staff.science.nus.edu.sg/~phyhcmk/teaching/PC1323,ham
Haven't heard from U4 in a while. Give them a call for a friendly chat.,spam
Congratulations! The Nokia 3650 video camera phone is yours.,spam
"Thanks for your ringtone order, reference number X29. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989180",spam
"Tomorrow, May 28th, is a special night at XCLUSIVE@CLUBSAISAI.",spam
* FREE* POLYPHONIC RINGTONE Text SUPER to 87131 to get your FREE POLY TONE of the week now! 16 SN PoBox202 NR31 7ZS subscription 450pw,spam
You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+ ,spam
Oh no! I didn't intend to send that to you! Haha!,ham
Dude just saw a parked car with its sunroof popped up. Sux,ham
Going thru a very different feeling.wavering decisions and coping up with the same is the same individual.time will heal everything i believe.,ham
I'm not driving... Raining! Then i'll get caught at e mrt station lor.,ham
Be sure to take the train to Worcester.,ham
PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,spam
"Where have you been hiding, unfamiliar one?",ham
My sister completed two rounds of the Birla Soft exam yesterday.,ham
"Bears Pic Nick, and Tom, Pete and ... Dick. In fact, all types try gay chat with photo upload call 08718730666 (10p/min). 2 stop texts call 08712460324",spam
I am literally in bed and have been awake for like an hour.,ham
Denied a loan? Secured or Unsecured? Can't get approved?,spam
This msg is for your mobile content order It has been resent as previous attempt failed due to network error Queries to customersqueries@netvision.uk.com,spam
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",spam
Do you desire a New Nokia 3510i Color Phone?,spam
SMS. ac sun0819 posts HELLO:\You seem cool,spam
Its a part of checking IQ,ham
Update your face book status frequently :),ham
"I'm eatin now lor, but goin back to work soon... E mountain deer show huh... I watch b4 liao, very nice...",ham
Did you get that person's story?,ham
"So that you are aware, Yetunde has not sent money.",ham
What are you doing?,ham
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08715203685 Identifier Code:4xx26 Expires 13/10/04,spam
"Party's at my place at usf, no charge (but if you can contribute in any way it is greatly appreciated) and yeah, we got room for one more",ham
You have been awarded a Nokia 7250i.,spam
IMMEDIATELY! You have been awarded a 1 week COMPLIMENTARY membership,spam
Please leave this topic..sorry for telling that..,ham
Minimum walk is 3miles a day.,ham
"You are being contacted by our Dating Service by someone you know! To find out who it is, call from your mobile or landline 09064017305 PoBox75LDNS7 ",spam
Receive a complimentary first week of access to TEXTPOD for a chance to win...,spam
"The party's at my place at USF - no cost (but if you'd like to contribute, feel free!)",ham
Tomorrow's timing is still the same because I have a lesson for you.,ham
WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,spam
Your complimentary ringtone is ready to be retrieved.,spam
You have 1 new message. Please call 08718738034.,spam
July 26th,ham
I have an excellent idea from a misunderstood friend.,ham
No more Tsunamis will occur from mind-blasting.,ham
"Storming msg: Wen u lift d phne, u say \HELLO\"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? \""Margaret Hello\"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person",ham
WIN a year supply of CDs 4 a store of ur choice worth å£500 & enter our å£100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3,spam
Then why you came to hostel.,ham
"As a SIM subscriber, you are selected to receive a Bonus! Get it delivered to your door, Txt the word OK to No: 88600 to claim. 150p/msg, EXP. 30Apr",spam
"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",ham
The fact that you're cleaning shows you know why i'm upset. Your priority is constantly \what i want to do,ham
Send a free message to Jamster and get the crazy frog sound!,spam
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203652 Identifier Code: 42810 Expires 29/10/0,spam
"New Tones This week include: 1)McFly-All Ab.., 2) Sara Jorge-Shock.. 3) Will Smith-Switch.. To order follow instructions on next message",spam
They just talking thats it de. They wont any other.,ham
"Haha figures, well I found the piece and priscilla's bowl",ham
"Haha, figures - I found the piece and Prisc, after all.",ham
Dear i am not denying your words please,ham
Still attempting to contact him.,ham
Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,ham
Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or å£250 cash every wk. Txt POD to 84128 Ts&Cs www.textpod.net custcare 08712405020.,spam
You won't believe it but it's true. It's Incredible Txts! Reply G now to learn truly amazing things that will blow your mind. From O2FWD only 18p/txt,spam
 gonna let me know cos comes bak from holiday that day.  is coming. Don't4get2text me  number. ,ham
"For ur chance to win a å£250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk.",spam
07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,spam
"Your account has been credited with 500 FREE Text Messages. To activate, just txt the word: CREDIT to No: 80488 T&Cs www.80488.biz",spam
Enjoy the jamster videosound gold club with your credits for 2 new videosounds+2 logos+musicnews! get more fun from jamster.co.uk! 16+only Help? call: 09701213186 ,spam
We'll have you pay over the course of &lt;#&gt; years so it's...,ham
Get a new polyphonic ringtone for your mobile phone every week!,spam
when you and derek done with class?,ham
This is a PRIVATE 2003 Account Statement for you.,spam
"Yes, definitely! Please don't joke around with me... You know I'm a huge fan.",ham
We are scheduled to convene to talk about our trip.,ham
No:-)i got rumour that you going to buy apartment in chennai:-),ham
Guy just spotted a car that was parked with its sunroof open.,ham
"IMPORTANT! You have been selected to receive a å£2,000 BONUS on your Mobile Number!",spam
Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY å£10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg,spam
This is a PRIVATE 2003 Account Statement for you.,spam
"That's a bit strange, even - where is the do-si-do?",ham
For participating in our mobile survey yesterday...,spam
Ever thought about living a good life with a perfect partner? Just txt back NAME and AGE to join the mobile community. (100p/SMS),spam
"To claim your medical holiday, send a Sunshine Hols request.",spam
"They are just talking, that's it. They won't do anything else.",ham
"You still have SIX chances to win CASH prizes ranging from 100 to 20,000!",spam
"I apologize for bringing up this subject, but please let's move on.",ham
We tried to contact Rodger Burns via message at 07732584351.,spam
Will you soon meet your dream partner? Is your career path leading you closer to them?,spam
"Helloooo... Wake up..! \Sweet\"" \""morning\"" \""welcomes\"" \""You\"" \""Enjoy\"" \""This Day\"" \""with full of joy\"".. \""GUD MRNG\"".""",ham
"Hi Shanil,Rakhesh here.thanks,i have exchanged the uncut diamond stuff.leaving back. Excellent service by Dino and Prem.",ham
"For ur chance to win a å£250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk",spam
"No calls received, no messages received, no missed calls.",ham
FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone,spam
important information 4 orange user 0789xxxxxxx. today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,spam
Text for your chance to win £250 cash every week.,spam
Tell me whos this pls:-),ham
Still i have not checked it da. . .,ham
"We both are happy to have seen dear, where?",ham
Experiencing a fluctuating emotion.,ham
"Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish. As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there. She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife, My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!",ham
"Urgent Urgent! We have 800 FREE flights to Europe to give away, call B4 10th Sept & take a friend 4 FREE. Call now to claim on 09050000555. BA128NNFWFLY150ppm",spam
18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.,spam
We just thought you would ask because you were curious.,ham
ROMCAPspam Everyone around should be responding well to your presence since you are so warm and outgoing. You are bringing in a real breath of sunshine.,spam
"I'm having a bite to eat now, but I'll be heading back to work soon.",ham
"I cannot refute your words, please.",ham
"If my class lets out in time, I might come by tonight then.",ham
"If you're still up, maybe leave the credit card so I can get gas when I get back like he told me to",ham
What is your availability for next week? I am out of town.,ham
"Haha .. *smiles* .. I'm not your sweetheart, but thanks for the kind thought!",ham
Hmm ill have to think about it... ok you're forgiven! =D,ham
"Not sure yet, still trying to get a hold of him",ham
Refused a loan? Secured or Unsecured? Can't get credit? Call free now 0800 195 6669 or text back 'help' & we will!,spam
Hey they r not watching movie tonight so i'll prob b home early...,ham
I am not familiar with you and you are not familiar with me. Let's CHAT!,spam
Nothing but we jus tot u would ask cos u ba gua... But we went mt faber yest... Yest jus went out already mah so today not going out... Jus call lor...,ham
Simonwatson5120 outbid you for the Shinco.,spam
When have you and Derek finished with class?,ham
Purchase Space Invaders 4 for an opportunity to win the original Arcade version.,spam
"In fact, Happy New Year! How are you? Where are you?",ham
URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid 12hrs only,spam
Where are you now and when will you arrive?,ham
We can go 4 e normal pilates after our intro...  ,ham
Net! Yes princess! I want to catch you with my big net!,ham
I don't believe there is a miscommunication between us.,ham
You have been awarded a City Break and have the chance to WIN a £200 prize.,spam
"To claim your medical holiday, send a Sunshine Hols request.",spam
Mobile Club: Choose any of the top quality items for your mobile. 7cfca1a,spam
The sorrowful tale of a Man - Last week was my birthday.,ham
"Are your arms alright, and how is Cardiff and university going?",ham
First week is FREE! Get the No. 1 Nokia tone for your mobile.,spam
Significant data for orange user 0789xxxxxx...,spam
"If everyone leaves, then I will too.",ham
"Jason says he's going to be around, so I'll be waiting.",ham
"Congratulations! A two-person, one-year special cinema pass has been awarded.",spam
staff.science.nus.edu.sg/~phyhcmk/teaching/pc1323,ham
A pure hearted person can have a wonderful smile that makes even his/her enemies to feel guilty for being an enemy.. So catch the world with your smile..:) GOODMORNING &amp; HAVE A SMILEY SUNDAY..:),ham
"Sorry,in meeting I'll call later",ham
"SMS ac sun0819 posts ""HELLO: You seem cool""",spam
Hey Guys. Want hot XXX photos sent directly to your phone?,spam
RGENT! This is the 2nd attempt to contact U!U have WON å£1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. maxå£7. 50,spam
You are guaranteed to win a å£200 award or more.,spam
"Congratulations! A two-person, one-year special cinema pass has been awarded.",spam
FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,spam
"I am not working on the ringing thing yet, but I have made some progress.",ham
Infact happy new year. How are you where are you when are we seeing,ham
Natalja (25/F) is extending an invitation for you to be her friend.,spam
"I'm confident that Z will look after me, so there's no need to worry.",ham
Everyone should be responding to ROMCAPspam.,spam
No... I'm going to take the plunge on Monday.,ham
"Apologies, I am unable to call you at this time as I am in a meeting.",ham
18 days until the Euro2004 kickoff! You will be kept informed...,spam
"Sorry, I'll call you  later. I am in meeting sir.",ham
"Hi, this is Mandy Sullivan calling from HOTMIX FM...you are chosen to receive å£5000.00 in our Easter Prize draw.....Please telephone 09041940223 to claim before 29/03/05 or your prize will be transferred to someone else....",spam
"When you pick up the phone, say ""Hello"".",ham
No * am working on the ringing u thing but have whole houseful of screaming brats so * am pulling my hair out! Loving u,ham
When will you all be returning? G said you were...,ham
My sister cleared two round in birla soft yesterday.,ham
What you doing?how are you?,ham
We have finished.,ham
Act Now! We have 800 FREE flights to Europe available!,spam
What FLOWER is associated with DOT Cotton from EASTENDERS TV Quiz?,spam
"65-321

PRIVATE! Your 2003 Account Statement for 078-965-321 is not to be shared.",spam
PISS IS TALKING IS SOMEONE THAT REALISE U THAT POINT THIS AT IS IT.(NOW READ IT BACKWARDS),ham
"Romantic Paris: 2 Nights, 2 Flights from å£79",spam
Moby Pub Quiz.Win a å£100 High Street prize if u know who the new Duchess of Cornwall will be? Txt her first name to 82277.unsub STOP å£1.50 008704050406 SP,spam
"Thats a bit weird, even ?- where is the do supposed to be happening? But good idea, sure they will be in pub!",ham
I dont thnk its a wrong calling between us,ham
"Go to the URL ""http//tms.widelive.com/index.wml?id=820554ad...""",spam
Surprise! Someone you know has a secret crush on...,spam
"I'm not driving if it's raining, or else I'll get caught.",ham
I walked for an hour to see you! Doesn't that demonstrate I care?,ham
"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?",ham
This is the second time we have attempted to contact you.,spam
Great new service - live sex video chat on your device,spam
"You have won either ?1,000 cash or a ?2,000 prize!",spam
You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,spam
"It's Incredible, but it's true!",spam
Did u got that persons story,ham
"Spoke with uncle john today. He strongly feels that you need to sacrifice to keep me here. He's going to call you. When he does, i beg you to just listen. Dont make any promises or make it clear things are not easy. And i need you to please let us work things out. As long as i keep expecting help, my creativity will be stifled so pls just keep him happy, no promises on your part.",ham
Join the Mobile Club and select from the best items available.,spam
"Final Chance! Claim ur å£150 worth of discount vouchers today! Text YES to 85023 now! SavaMob, member offers mobile! T Cs SavaMob POBOX84, M263UZ. å£3.00 Subs 16",spam
You are a victor chosen for distinction.,spam
"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",spam
What is your view of me?,ham
"U were outbid by simonwatson5120 on the Shinco DVD Plyr. 2 bid again, visit sms. ac/smsrewards 2 end bid notifications, reply END OUT",spam
Why did you come to the hostel?,ham
Wylie update: my weed dealer carlos went to freedom and had a class with lunsford,ham
A person with a kind heart can have a beautiful smile.,ham
EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN å£100 Cash WKENT/150P16+,spam
Congratulations!! As a valued network customer you have...,spam
Hey pple...$700 or $900 for 5 nights...Excellent location wif breakfast hamper!!!,ham
I need details about that online job.,ham
"If you don't act, your prize will be given to another customer.",spam
"FreeMSG You have been awarded a FREE mini DIGITAL CAMERA, just reply SNAP to collect your prize! (quizclub Opt out? Stop 80122300p/wk SP:RWM Ph:08704050406)",spam
"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop",spam
It is part of assessing IQ,ham
You are now unsubscribed all services. Get tons of sexy babes or hunks straight to your phone! go to http://gotbabes.co.uk. No subscriptions.,spam
Call 02073162414 for explicit SEX in 30 seconds.,spam
500 pounds worth of genuine HMV merchandise,spam
This week's SavaMob member deals are now available.,spam
"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08712101358 NOW! Only 10p per min. BT-national-rate",spam
+123 Congratulations - in this week's competition draw u have won the å£1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm,spam
I am amazed at how attached I feel to seeing you.,ham
"If you win the Moby Pub Quiz, you could be rewarded with a £100 High Street prize!",spam
Married women from the area seeking a private encounter,spam
Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase,spam
Post updates to your Facebook page regularly.,ham
"This is the 2nd time we have tried 2 contact u. U have won the å£750 Pound prize. 2 claim is easy, call 087187272008 NOW1! Only 10p per minute. BT-national-rate.",spam
Ok...,ham
"URGENT! Your mobile was awarded a å£1,500 Bonus Caller Prize on 27/6/03. Our final attempt 2 contact U! Call 08714714011",spam
For taking part in our mobile survey yesterday! You can now have 500 texts 2 use however you wish. 2 get txts just send TXT to 80160 T&C www.txt43.com 1.50p,spam
WE ARE SORRY TO INFORM YOU THAT THE NHS HAS MADE A DECISION,ham
Married local women looking for discreet action now! 5 real matches instantly to your phone. Text MATCH to 69969 Msg cost 150p 2 stop txt stop BCMSFWC1N3XX,spam
"""McFly's New Tones This Week Include All Ab...""",spam
"""Oh, bedridden, huh? What are YOU contemplating?""",ham
I keep ten rs in my shelf:) buy two egg.,ham
I heard a rumor that you are going to buy an apartment.,ham
"If you're still awake, perhaps it's best to put the credit card away.",ham
Just buy a pizza. Meat lovers or supreme. U get to pick.,ham
Answer: Take the Sunshine Quiz Weekly and Win a Top Sony DVD Player!,spam
"Hello Shanil, this is Rakhesh. Thank you, I have swapped...",ham
"Hi Jon, Pete here, Ive bin 2 Spain recently & hav sum dinero left, Bill said u or ur åÔrents mayb interested in it, I hav 12,000pes, so around å£48, tb, James.",ham
I am literally in bed and have been up for like  &lt;#&gt;  hours,ham
You have been awarded a Nokia 7250i.,spam
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203694 Identifier Code: 40533 Expires 31/10/04,spam
KEEP CONFIDENTIAL: Your 2004 Account Statement for 07742...,spam
You are now unsubscribed from all services.,spam
"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",spam
You need to persuade him that it is not feasible with...,ham
Tmr timin still da same wat cos i got lesson until 6...,ham
Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552. 2End send STOP 8552 SAM xxx,spam
This message is for your mobile content purchase.,spam
Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth å£33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk,spam
What you did in  leave.,ham
URGENT! This is the second attempt to reach you!,spam
IMPORTANT MESSAGE. This is a final contact attempt. You have important messages waiting out our customer claims dept. Expires 13/4/04. Call 08717507382 NOW!,spam
"Bears Pic Nick, Tom, Pete, and Dick.",spam
The fact that you're cleaning demonstrates your understanding of what is expected.,ham
Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min Gsex POBOX 2667 WC1N 3XX,spam
BIG BROTHER ALERT! The computer has selected u for 10k cash or #150 voucher. Call 09064018838. NTT PO Box CRO1327 18+ BT Landline Cost 150ppm mobiles vary,spam
Prepare your garden for summer with a FREE sowing.,spam
PRIVATE! Your 2003 Account Statement for 078,spam
