Mensagem,Classe
Net! Yes princess! I want to catch you with my big net!,ham
when you and derek done with class?,ham
My sister cleared two round in birla soft yesterday.,ham
"If everyone leaves, then I will too.",ham
Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394973 from Landline DATEBox1282EssexCM61XN 150p/min 18,spam
This is a PRIVATE 2003 Account Statement for you.,spam
"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",ham
What you doing?how are you?,ham
"Jason says he's going to be around, so I'll be waiting.",ham
"This is the 2nd time we have tried 2 contact u. U have won the å£750 Pound prize. 2 claim is easy, call 087187272008 NOW1! Only 10p per minute. BT-national-rate.",spam
Win a year's worth of CDs from a store of your choice.,spam
PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,spam
First week free! Get the No. 1 Nokia tone for your mobile every day.,spam
Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase,spam
"URGENT!! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins",spam
Just buy a pizza. Meat lovers or supreme. U get to pick.,ham
Did u got that persons story,ham
07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,spam
"U were outbid by simonwatson5120 on the Shinco DVD Plyr. 2 bid again, visit sms. ac/smsrewards 2 end bid notifications, reply END OUT",spam
"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop",spam
Oh dang! I didn't mean o send that to you! Lol!,ham
SMS. ac sun0819 posts HELLO:\You seem cool,spam
"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",spam
Ever considered living a fulfilling life with a purpose?,spam
I can't believe how attached I am to seeing you every day. I know you will do the best you can to get to me babe. I will go to teach my class at your midnight,ham
Update your face book status frequently :),ham
important information 4 orange user 0789xxxxxxx. today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,spam
Congratulations! Two 3G Videophones are now yours. Call...,spam
"Haha figures, well I found the piece and priscilla's bowl",ham
"Babe, have you got enough money to pick up bread and milk ? And I'll give you it back when you get home ?",ham
"So that you are aware, Yetunde has not sent money.",ham
"I apologize, I am in a meeting and will call later.",ham
"Haha .. *smiles* .. I'm not your sweetheart, but thanks for the kind thought!",ham
No more Tsunamis will occur from mind-blasting.,ham
The least amount of walking required is 3 miles per day.,ham
"FreeMSG You have been awarded a FREE mini DIGITAL CAMERA, just reply SNAP to collect your prize! (quizclub Opt out? Stop 80122300p/wk SP:RWM Ph:08704050406)",spam
"Arms fine, how's Cardiff and uni? ",ham
"I'm confident that Z will look after me, so there's no need to worry.",ham
"Jade, it's Paul. Why didn't you text me? Do you remember?",ham
I am literally in bed and have been up for like  &lt;#&gt;  hours,ham
IMMEDIATE! We are attempting to reach U. Today's deadline is of the utmost importance.,spam
Tmr timin still da same wat cos i got lesson until 6...,ham
Your B4U voucher with the date 27/03 is MARSMS. Log onto...,spam
Hey they r not watching movie tonight so i'll prob b home early...,ham
EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN å£100 Cash WKENT/150P16+,spam
You won't believe it but it's true. It's Incredible Txts! Reply G now to learn truly amazing things that will blow your mind. From O2FWD only 18p/txt,spam
I walked for an hour to see you! Doesn't that demonstrate I care?,ham
"For ur chance to win a å£250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk.",spam
"Free-message: Jamster!Get the crazy frog sound now! For poly text MAD1, for real text MAD2 to 88888. 6 crazy sounds for just 3 GBP/week! 16+only! T&C's apply",spam
I still haven't checked it yet.,ham
IMMEDIATE! We are attempting to reach U. Today's deadline is of the utmost importance.,spam
"Hello, my name is Sue. I am 20 years old and I am employed as a legal assistant.",spam
1Apple/Day=No Doctor. 1Tulsi Leaf/Day=No Cancer. 1Lemon/Day=No Fat. 1Cup Milk/day=No Bone Problms 3 Litres Watr/Day=No Diseases Snd ths 2 Whom U Care..:-),ham
"Spoke with uncle john today. He strongly feels that you need to sacrifice to keep me here. He's going to call you. When he does, i beg you to just listen. Dont make any promises or make it clear things are not easy. And i need you to please let us work things out. As long as i keep expecting help, my creativity will be stifled so pls just keep him happy, no promises on your part.",ham
We just thought you would ask because you were curious.,ham
What you did on leave.,ham
Hey pple...$700 or $900 for 5 nights...Excellent location wif breakfast hamper!!!,ham
"Hi Shanil,Rakhesh here.thanks,i have exchanged the uncut diamond stuff.leaving back. Excellent service by Dino and Prem.",ham
Experiencing a fluctuating emotion.,ham
"Call me da, I am awaiting your call.",ham
This is a PRIVATE 2003 Account Statement for you.,spam
RGENT! This is the 2nd attempt to contact U!U have WON å£1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. maxå£7. 50,spam
Congratulations! You have won as a valued Vodafone customer!,spam
"Hi Jon, Pete here, Ive bin 2 Spain recently & hav sum dinero left, Bill said u or ur åÔrents mayb interested in it, I hav 12,000pes, so around å£48, tb, James.",ham
We can go 4 e normal pilates after our intro...  ,ham
"Thanks for your ringtone order, reference number X29. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989180",spam
"We both are happy to have seen dear, where?",ham
We're done...,ham
Hey Guys. Want hot XXX photos sent directly to your phone?,spam
"You have 500 free text messages available to you, up to a total of 80,488.",spam
Then why you came to hostel.,ham
RCT' THNQ Adrian for U text. Rgds Vatian,spam
We'll you pay over like  &lt;#&gt; yrs so its not too difficult,ham
You are now unsubscribed all services. Get tons of sexy babes or hunks straight to your phone! go to http://gotbabes.co.uk. No subscriptions.,spam
Great new service - live sex video chat on your device,spam
Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or å£250 cash every wk. Txt POD to 84128 Ts&Cs www.textpod.net custcare 08712405020.,spam
Nothing but we jus tot u would ask cos u ba gua... But we went mt faber yest... Yest jus went out already mah so today not going out... Jus call lor...,ham
Infact happy new year. How are you where are you when are we seeing,ham
When will you all be returning? G said you were...,ham
Text for your chance to win £250 cash every week.,spam
1Tulsi Leaf/Day=No Need for a Doctor.,ham
"If you search diligently, there is still a chance.",ham
Did you get that person's story?,ham
"\ME 2 BABE I FEEL THE SAME LETS JUST 4GET ABOUT IT+BOTH TRY +CHEER UP+NOT FIT SOO MUCHXXLOVE U LOCAXX\""""",ham
Today my system is prepared and ready to go. All is well and I...,ham
What is the amount we are receiving?,ham
"Storming msg: Wen u lift d phne, u say \HELLO\"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? \""Margaret Hello\"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person",ham
Someone has reached out to our dating service and expressed interest.,spam
"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",spam
Mobile Club: Choose any of the top quality items for your mobile. 7cfca1a,spam
"Tomorrow, May 28th, is a special night at XCLUSIVE@CLUBSAISAI.",spam
"For ur chance to win a å£250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk",spam
Download as many ringtones as you desire without any restrictions.,spam
Hmm ill have to think about it... ok you're forgiven! =D,ham
"The party's at my place at USF - no cost (but if you'd like to contribute, feel free!)",ham
22 days until Euro2004 kicks off!,spam
"Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish. As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there. She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife, My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!",ham
<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.,spam
BIG BROTHER ALERT! The computer has selected u for 10k cash or #150 voucher. Call 09064018838. NTT PO Box CRO1327 18+ BT Landline Cost 150ppm mobiles vary,spam
You are a victor chosen for distinction.,spam
Tune in to Sky to watch Fantasy Football return to your TV.,spam
I am on the bus heading to Calicut.,ham
Today's Voda numbers ending in 5226 that have been chosen are,spam
Guy just spotted a car that was parked with its sunroof open.,ham
"Are your arms alright, and how is Cardiff and university going?",ham
Everyone should be responding to ROMCAPspam.,spam
Are we still on for tonight?,ham
No:-)i got rumour that you going to buy apartment in chennai:-),ham
He didn't see his shadow. We get an early spring yay,ham
Surprise! Someone you know has a secret crush on...,spam
How is your schedule next week? I am out of town this weekend.,ham
What is your view of me?,ham
Refused a loan? Secured or Unsecured? Can't get credit? Call free now 0800 195 6669 or text back 'help' & we will!,spam
What you did in  leave.,ham
WE ARE SORRY TO INFORM YOU THAT THE NHS HAS MADE A DECISION,ham
"SMS ac sun0819 posts ""HELLO: You seem cool""",spam
"Hi Babe, Even though you are probably in bed, I am still so...",ham
WE REGRET TO INFORM U THAT THE NHS HAS MADE A MISTAKE.U WERE NEVER ACTUALLY BORN.PLEASE REPORT 2 YOR LOCAL HOSPITAL 2B TERMINATED.WE R SORRY 4 THE INCONVENIENCE,ham
"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm",spam
"As a SIM subscriber, you have been chosen to receive",spam
Wylie update: my cannabis supplier Carlos went to France.,ham
Not heard from U4 a while. Call me now am here all night with just my knickers on. Make me beg for it like U did last time 01223585236 XX Luv Nikiyu4.net,spam
"Thank you Adrian for your text. Regards, Vatian",spam
Today I am going to college so I am not able to attend.,ham
You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+ ,spam
I'm not driving... Raining! Then i'll get caught at e mrt station lor.,ham
"YOU VE WON! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins",spam
"In fact, Happy New Year! How are you? Where are you?",ham
We tried to contact Rodger Burns via message at 07732584351.,spam
"This weeks SavaMob member offers are now accessible. Just call 08709501522 for details! SavaMob, POBOX 139, LA3 2WU. Only å£1.50/week. SavaMob - offers mobile!",spam
Let's just forget about it and be two babes who feel the same.,ham
"That's a bit strange, even - where is the do-si-do?",ham
This is the second time we have attempted to contact you.,spam
"Hello, this is Mandy Sullivan from HOTMIX speaking.",spam
"Bears Pic Nick, Tom, Pete, and Dick.",spam
Married women from the area seeking a private encounter,spam
This week's SavaMob member deals are now available.,spam
"Call me da, i am waiting for your call.",ham
I keep ten rs in my shelf:) buy two egg.,ham
Its a part of checking IQ,ham
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! ",spam
I heard a rumor that you are going to buy an apartment.,ham
I am in bus on the way to calicut,ham
You have been awarded a City Break and have the chance to WIN a £200 prize.,spam
"Sorry,in meeting I'll call later",ham
Your B4U voucher w/c 27/03 is MARSMS. Log onto www.B4Utele.com for discount credit. To opt out reply stop. Customer care call 08717168528,spam
"For ur chance to win a å£250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk",spam
Answer: Take the Sunshine Quiz Weekly and Win a Top Sony DVD Player!,spam
"It's been a while since I heard from U4. Give me a call now, I'm here.",spam
How much are we getting?,ham
"Your account has been credited with 500 FREE Text Messages. To activate, just txt the word: CREDIT to No: 80488 T&Cs www.80488.biz",spam
Haven't heard from U4 in a while. Give them a call for a friendly chat.,spam
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",spam
I am amazed at how attached I feel to seeing you.,ham
Where u been hiding stranger?,ham
"Yes, definitely! Please don't joke around with me... You know I'm a huge fan.",ham
Well done ENGLAND! Get the official poly ringtone or colour flag on yer mobile! text TONE or FLAG to 84199 NOW! Opt-out txt ENG STOP. Box39822 W111WX å£1.50,spam
For your chance to win a £250 weekly shopping spree,spam
"accordingly. I repeat, just text the word ok on your mobile phone and send",spam
What is your availability for next week? I am out of town.,ham
Nope... Think i will go for it on monday... Sorry i replied so late,ham
"Good morning, wake up!",ham
IMMEDIATELY! You have been awarded a 1 week COMPLIMENTARY membership,spam
Congratulations!! As a valued network customer you have...,spam
"""McFly's New Tones This Week Include All Ab...""",spam
Today my system sh get ready.all is well and i am also in the deep well,ham
No... I'm going to take the plunge on Monday.,ham
"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",spam
"When you pick up the phone, say ""Hello"".",ham
We are supposed to meet to discuss abt our trip... Thought xuhui told you? In the afternoon. Thought we can go for lesson after that,ham
Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min Gsex POBOX 2667 WC1N 3XX,spam
"Go to Jurong Point, if you're feeling adventurous, but it's only available...",ham
We can go for a regular Pilates session after our introduction.,ham
staff.science.nus.edu.sg/~phyhcmk/teaching/PC1323,ham
ROMCAPspam Everyone around should be responding well to your presence since you are so warm and outgoing. You are bringing in a real breath of sunshine.,spam
Sure but since my parents will be working on Tuesday I don't really need a cover story,ham
Yun buying... But school got offer 2000 plus only...,ham
Your complimentary ringtone is ready to be retrieved.,spam
I dunno until when... Lets go learn pilates...,ham
For participating in our mobile survey yesterday...,spam
Let's talk when you have the chance.,spam
A person with a kind heart can have a beautiful smile.,ham
I am not familiar with you and you are not familiar with me. Let's CHAT!,spam
Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+,spam
This msg is for your mobile content order It has been resent as previous attempt failed due to network error Queries to customersqueries@netvision.uk.com,spam
http//tms. widelive.com/index. wml?id=820554ad0a1705572711&first=trueåÁC C RingtoneåÁ,spam
"Yun buying, but school got an offer of 2000+",ham
The fact that you're cleaning shows you know why i'm upset. Your priority is constantly \what i want to do,ham
Purchase Space Invaders 4 for an opportunity to win the original Arcade version.,spam
Get your garden ready for summer with a FREE selection of summer bulbs and seeds worth å£33:50 only with The Scotsman this Saturday. To stop go2 notxt.co.uk,spam
"New Tones This week include: 1)McFly-All Ab.., 2) Sara Jorge-Shock.. 3) Will Smith-Switch.. To order follow instructions on next message",spam
Send a free message to Jamster and get the crazy frog sound!,spam
"LOL .. *grins* .. I'm not babe, but thanks for thinking of me!",ham
You need to persuade him that it is not feasible with...,ham
I require information regarding that online job.,ham
Still attempting to contact him.,ham
+123 Congratulations - in this week's competition draw u have won the å£1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm,spam
Well i know Z will take care of me. So no worries.,ham
Congratulations on your success in this week's competition!,spam
"FREE NOKIA Or Motorola with upto 12mths 1/2price linerental, 500 FREE x-net mins&100txt/mth FREE B'tooth*. Call Mobileupd8 on 08001950382 or call 2optout/D3WV",spam
We are scheduled to convene to talk about our trip.,ham
"Do you have enough money to get the bread, Babe?",ham
Gr8 new service - live sex video chat on your mob - see the sexiest dirtiest girls live on ur phone - 4 details text horny to 89070 to cancel send STOP to 89070,spam
"If you don't act, your prize will be given to another customer.",spam
Ok...,ham
Tell me whos this pls:-),ham
"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call",spam
You are guaranteed to win a å£200 award or more.,spam
Experience the Jamster Videosound Gold Club with your friends.,spam
"Well, I have to leave for my class babe ... You never came back to me ... :-( ... Hope you have a nice sleep, my love",ham
"By the way, make sure u get train to worc foregate street not shrub hill. Have fun night x",ham
No calls..messages..missed calls,ham
It is part of assessing IQ,ham
IMPORTANT MESSAGE. This is a final contact attempt. You have important messages waiting out our customer claims dept. Expires 13/4/04. Call 08717507382 NOW!,spam
"Haha, figures - I found the piece and Prisc, after all.",ham
Wewa is 130. Iriver 255. All 128 mb.,ham
UR awarded a City Break and could WIN a å£200 Summer Shopping spree every WK. Txt STORE to 88039.SkilGme.TsCs087147403231Winawk!Age16+å£1.50perWKsub,spam
"URGENT! Your Mobile No was awarded a å£2,000 Bonus Caller Prize on 1/08/03! This is our 2nd attempt to contact YOU! Call 0871-4719-523 BOX95QU BT National Rate",spam
WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,spam
"I'm not driving if it's raining, or else I'll get caught.",ham
You have a secret admirer who is seeking to make,spam
Ok lor...,ham
"Wewa is 130 MB, Iriver is 255 MB, and all are 128 MB.",ham
Someone has contacted our dating service and entered your phone because they fancy you! To find out who it is call from a landline 09111032124 . PoBox12n146tf150p,spam
"Come on, babe, get me aroused! Text me...",spam
"I'm eatin now lor, but goin back to work soon... E mountain deer show huh... I watch b4 liao, very nice...",ham
You have 1 new message. Please call 08718738034.,spam
"IMPORTANT! You have been selected to receive a å£2,000 BONUS on your Mobile Number!",spam
This message is for your mobile content purchase.,spam
Do you want a New Nokia 3510i Colour Phone Delivered Tomorrow? With 200 FREE minutes to any mobile + 100 FREE text + FREE camcorder Reply or Call 08000930705,spam
Hi dear we saw dear. We both are happy. Where you my battery is low,ham
"You have won either ?1,000 cash or a ?2,000 prize!",spam
Natalja (25/F) is extending an invitation for you to be her friend.,spam
Your current cash balance is 500 pounds.,spam
Thats cool princess! I will cover your face in hot sticky cum :),ham
Still i have not checked it da. . .,ham
An excellent thought by a misundrstud frnd: I knw u hate me bt the day wen u'll knw the truth u'll hate urself:-( Gn:-),ham
I have an excellent idea from a misunderstood friend.,ham
I don't believe there is a miscommunication between us.,ham
Get a new polyphonic ringtone for your mobile phone every week!,spam
Will you soon meet your dream partner? Is your career path leading you closer to them?,spam
"They are just talking, that's it. They won't do anything else.",ham
Okie... Thanx...,ham
 gonna let me know cos comes bak from holiday that day.  is coming. Don't4get2text me  number. ,ham
"This is a reminder from O2: To receive £2.50 free, please call...",spam
Dude just saw a parked car with its sunroof popped up. Sux,ham
Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY å£10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg,spam
"Go to the URL ""http//tms.widelive.com/index.wml?id=820554ad...""",spam
You are now unsubscribed from all services.,spam
"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p",spam
it to 80488. Your 500 free text messages are valid until 31 December 2005.,spam
"Tessy, could you please do me a favor and pass on my birthday wishes?",ham
"Accordingly, I reiterate, simply text the word ""ok"" to confirm.",spam
You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,spam
KEEP CONFIDENTIAL: Your 2004 Account Statement for 07742...,spam
I dont thnk its a wrong calling between us,ham
You have won a guaranteed å£200 award or even å£1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP. RG21 4JX,spam
We have finished.,ham
"He didn't catch a glimpse of his shadow, indicating an early spring.",ham
July 26th,ham
"Watching cartoons, listening to music, and in the evening...",ham
This is a final contact attempt regarding an IMPORTANT MESSAGE.,spam
"No problem, thank you.",ham
HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,spam
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08715203685 Identifier Code:4xx26 Expires 13/10/04,spam
"If you're still up, maybe leave the credit card so I can get gas when I get back like he told me to",ham
Enter for free weekly to have a chance to ...,spam
"K, jason says he's gonna be around so I'll be up there around  &lt;#&gt;",ham
"No calls received, no messages received, no missed calls.",ham
"Thank you for your ringtone order, reference number...",spam
Do you desire a New Nokia 3510i Color Phone?,spam
"It's Incredible, but it's true!",spam
"Well, I gotta jet for my class babe.",ham
"Thats a bit weird, even ?- where is the do supposed to be happening? But good idea, sure they will be in pub!",ham
Last Opportunity! Get your £150 worth of savings...,spam
Alright.,ham
"Urgent Urgent! We have 800 FREE flights to Europe to give away, call B4 10th Sept & take a friend 4 FREE. Call now to claim on 09050000555. BA128NNFWFLY150ppm",spam
"If you don't, your prize will go to another customer. T&C at www.t-c.biz 18+ 150p/min Polo Ltd Suite 373 London W1J 6HL Please call back if busy ",spam
Today am going to college so am not able to atten the class.,ham
Hi I'm sue. I am 20 years old and work as a lapdancer. I love sex. Text me live - I'm i my bedroom now. text SUE to 89555. By TextOperator G2 1DA 150ppmsg 18+,spam
Significant data for orange user 0789xxxxxx...,spam
WIN a year supply of CDs 4 a store of ur choice worth å£500 & enter our å£100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3,spam
You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,spam
I have ten rupees in my shelf that I will use to buy two eggs.,ham
Please leave this topic..sorry for telling that..,ham
"Helloooo... Wake up..! \Sweet\"" \""morning\"" \""welcomes\"" \""You\"" \""Enjoy\"" \""This Day\"" \""with full of joy\"".. \""GUD MRNG\"".""",ham
Where are you now and when will you arrive?,ham
"""Receive a Special Loyalty Discount on the NEW Nokia6650 Mobile Phone!""",spam
They just talking thats it de. They wont any other.,ham
PRIVATE! Your 2003 Account Statement for 078,spam
"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?",ham
Tomorrow's timing is still the same because I have a lesson for you.,ham
I'll go ahead and watch the movie by myself tonight.,ham
"If my class lets out in time, I might come by tonight then.",ham
Yes princess! I want to catch you with my big strong hands...,ham
Simonwatson5120 outbid you for the Shinco.,spam
FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,spam
